"ID_Month","City","State","Latitude","Longitude","Altitude","ID","Monthly mean dry bulb temperature","Monthly mean dew point temperature","Monthly mean relative humidity","Monthly mean atmospheric pressure","Monthly mean global horizontal radiation","Monthly mean direct normal radiation","Monthly mean diffuse horizontal radiation","Monthly mean wind speed"
"BRA_AC_Feijo.AP.819240_INMET_01","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",25.534811827957,23.3002688172043,87.6545698924731,99123.8037634409,185.361559139785,60.875,111.594086021505,1.49717741935484
"BRA_AC_Feijo.AP.819240_INMET_02","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",25.9574404761905,23.6215773809524,87.0431547619048,99040.9479166667,186.629464285714,62.0967261904762,112.375,1.4485119047619
"BRA_AC_Feijo.AP.819240_INMET_03","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",25.9715053763441,23.6155913978495,86.9637096774194,99115.9112903226,196.338709677419,75.5349462365591,106.934139784946,1.44596774193548
"BRA_AC_Feijo.AP.819240_INMET_04","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",26.1501388888889,22.9502777777778,83.2222222222222,99208.1125,212.861111111111,88.4166666666667,101.438888888889,1.37277777777778
"BRA_AC_Feijo.AP.819240_INMET_05","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",25.0625,21.972311827957,83.5618279569892,99365.6774193548,167.612903225806,60.1048387096774,88.0981182795699,1.2635752688172
"BRA_AC_Feijo.AP.819240_INMET_06","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",26.8548611111111,21.9408333333333,75.2930555555556,99635.5194444444,166.680555555556,58.2055555555556,82.9694444444444,0.858611111111111
"BRA_AC_Feijo.AP.819240_INMET_07","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",24.9846774193548,20.382123655914,76.8051075268817,99598.5282258065,159.825268817204,54.2661290322581,83.4448924731183,0.899865591397849
"BRA_AC_Feijo.AP.819240_INMET_08","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",27.3926075268817,20.0561827956989,65.9489247311828,99496.3051075269,196.720430107527,79.1626344086021,93.0322580645161,0.881586021505376
"BRA_AC_Feijo.AP.819240_INMET_09","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",27.4931944444444,21.4929166666667,71.4138888888889,99379.0263888889,182.736111111111,68.7388888888889,95.2972222222222,1.11986111111111
"BRA_AC_Feijo.AP.819240_INMET_10","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",26.3467741935484,22.254435483871,80.2069892473118,99227.7795698925,228.048387096774,97.7284946236559,108.82123655914,1.55443548387097
"BRA_AC_Feijo.AP.819240_INMET_11","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",26.0473611111111,23.2309722222222,85.3680555555556,98886.2944444444,212.609722222222,86.3486111111111,109.35,1.45097222222222
"BRA_AC_Feijo.AP.819240_INMET_12","Feijo AP","AC",-8.14,-70.34,163,"BRA_AC_Feijo.AP.819240_INMET",25.1748655913979,22.9318548387097,87.7876344086021,99053.7916666667,183.537634408602,61.1129032258064,110.141129032258,1.4866935483871
"BRA_AC_Parque.Chandless.819630_INMET_01","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",24.8022849462366,22.7951612903226,88.9704301075269,99015.5913978495,129.204301075269,26.0120967741935,96.4032258064516,0.276075268817204
"BRA_AC_Parque.Chandless.819630_INMET_02","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",24.6272321428571,22.8061011904762,89.9032738095238,98944.1964285714,107.290178571429,18.1741071428571,84.2648809523809,0.302827380952381
"BRA_AC_Parque.Chandless.819630_INMET_03","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",24.7450268817204,22.8514784946237,89.5564516129032,98949.0860215054,106.358870967742,18.4126344086022,83.3037634408602,0.260752688172043
"BRA_AC_Parque.Chandless.819630_INMET_04","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",24.8525,23.01875,89.8527777777778,99094.9444444444,110.133333333333,19.1319444444444,87.3527777777778,0.287916666666667
"BRA_AC_Parque.Chandless.819630_INMET_05","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",25.1741935483871,22.6994623655914,87.0497311827957,99048.186827957,131.817204301075,33.4663978494624,87.5255376344086,0.524327956989247
"BRA_AC_Parque.Chandless.819630_INMET_06","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",23.2809722222222,20.8777777777778,87.2138888888889,99323.1041666667,133.463888888889,33.4791666666667,87.9638888888889,0.402638888888889
"BRA_AC_Parque.Chandless.819630_INMET_07","Parque Estadual Chandless","AC",-9.37,-69.93,206,"BRA_AC_Parque.Chandless.819630_INMET",23.6991935483871,20.7861559139785,85.1760752688172,99262.123655914,184.422043010753,74.9516129032258,83.4879032258064,0.359543010752688
