"ID","City","State","Latitude (º)","Longitude (º)","Altitude (m)","Annual mean dry bulb temperature (ºC)","Annual mean dew point temperature (ºC)","Annual mean relative humidity (%)","Annual mean atmospheric pressure (Pa)","Annual mean global horizontal radiation (Wh/m²)","Annual mean direct normal radiation (Wh/m²)","Annual mean diffuse horizontal radiation (Wh/m²)","Annual mean wind speed (m/s)"
"_MG_Chapada Gaucha","Chapada Gaúcha","MG",-15.31,-45.62,880,22.7018721461187,15.9529337899543,68.8535388127854,91667.448630137,226.115410958904,103.317351598174,94.7772831050228,2.91267123287671
"_MG_Conceicao das Alagoas","Conceição das Alagoas","MG",-19.99,-48.15,568,22.7731050228311,15.9010616438356,69.6672374429224,94866.75,201.396347031963,80.6345890410959,91.8044520547945,2.24053652968037
"_MG_Curvelo","Curvelo","MG",-18.76,-44.43,670,22.842899543379,16.6504680365297,70.8678082191781,93896.647260274,229.701712328767,102.866780821918,93.966095890411,1.74010273972603
"_MG_Diamantina AP","Diamantina AP","MG",-18.23,-43.65,1356,18.6211529680365,14.396700913242,78.1942922374429,86761.9223744292,200.370319634703,82.2222602739726,92.8301369863014,3.00918949771689
"_MG_Dores do Indaia","Dores do Indaiá","MG",-19.46,-45.6,722,21.9850456621005,15.1769520547945,68.7888127853881,93274.2157534247,213.13002283105,90.6247716894977,91.177397260274,2.22504566210046
"_MG_Espinosa","Espinosa","MG",-14.92,-42.8,570,25.0175,15.8706050228311,60.2163242009132,94955.1729452055,235.742465753425,112.273630136986,93.5428082191781,2.27236301369863
"_MG_Florestal","Florestal","MG",-19.89,-44.42,742,20.1953310502283,14.3944406392694,72.8291095890411,93046.4723744292,234.255593607306,106.39098173516,92.840296803653,0.809052511415525
"_MG_Formiga","Formiga","MG",-20.46,-45.45,878,20.9243264840183,14.6973630136986,70.3566210045662,91624.2636986301,205.315410958904,81.8565068493151,94.2430365296804,1.87981735159817
"_MG_Governador Valadares","Governador Valadares","MG",-18.85,-41.95,263,24.0327853881279,18.6758675799087,74.0892694063927,98502.0439497717,209.699543378995,86.2998858447489,95.3444063926941,1.46487442922374
"_MG_Guarda-Mor","Guarda-Mor","MG",-17.77,-47.1,616,21.1319520547945,15.8826598173516,74.3277397260274,94283.0255707763,216.711872146119,91.9520547945205,95.3536529680365,2.68747716894977
"_MG_Ibirite","Ibirité","MG",-20.03,-44.01,1208,19.9529680365297,14.6815753424658,73.1107305936073,88336.8687214612,205.654223744292,84.9356164383562,91.3920091324201,3.76109589041096
"_MG_Itaobim","Itaobim","MG",-16.34,-41.29,266,25.2168607305936,17.5347945205479,65.3913242009132,98335.7494292237,218.488127853881,99.2616438356164,93.2457762557078,1.65544520547945
"_MG_Ituiutaba","Ituiutaba","MG",-18.97,-49.47,560,23.2639383561644,16.3011301369863,69.5809360730594,95231.397260274,207.538127853881,84.1102739726027,94.0642694063927,1.70457762557078
"_MG_Joao Pinheiro AP","João Pinheiro AP","MG",-17.78,-46.12,870,22.4485388127854,15.6502054794521,68.0276255707763,91672.6815068493,222.918378995434,96.6873287671233,95.1590182648402,2.61462328767123
"_MG_Juiz de Fora","Juiz de Fora","MG",-21.76,-43.35,950,18.5969520547945,15.086700913242,81.7986301369863,91121.2557077626,175.868607305936,65.9020547945206,85.7551369863014,2.92607305936073
"_MG_Mantena","Mantena","MG",-18.78,-40.98,214,24.2559931506849,18.6528767123288,73.0424657534247,98491.2385844749,207.089269406393,91.8953196347032,92.389497716895,0.700114155251142
"_MG_Maria da Fe","Maria da Fé","MG",-22.31,-45.38,1276,16.2530251141552,12.9814497716895,82.9921232876712,87561.3293378995,189.067465753425,74.5288812785388,88.3527397260274,0.851769406392694
"_MG_Mocambinho","Mocambinho","MG",-15.09,-44.02,460,24.8360273972603,17.3081849315069,66.9127853881279,96162.1666666667,236.843949771689,111.996803652968,93.7549086757991,1.12982876712329
"_MG_Montalvania","Montalvânia","MG",-14.42,-44.37,512,23.729897260274,16.9104566210046,70.1568493150685,95433.1603881279,236.308904109589,111.816552511416,94.453196347032,1.47270547945205
"_MG_Monte Verde AP","Monte Verde AP","MG",-22.86,-46.03,1500,15.2777625570776,11.8033904109589,80.9212328767123,84869.4061643836,186.821917808219,69.8982876712329,90.6310502283105,1.53004566210046
"_MG_Montes Claros","Montes Claros","MG",-16.74,-43.86,646,23.6698287671233,14.9935502283105,61.7563926940639,94190.6320776256,192.258789954338,65.2566210045662,107.177853881279,2.20934931506849
"_MG_Muriae","Muriaé","MG",-21.13,-42.37,297,23.2467694063927,18.8790068493151,78.240296803653,98123.9628995434,192.686529680365,75.7498858447489,93.7667808219178,1.49817351598174
"_MG_Ouro Branco","Ouro Branco","MG",-20.52,-43.69,1061,19.6738470319635,15.6944634703196,79.5670091324201,89873.6066210046,182.159703196347,63.5200913242009,96.4568493150685,1.62316210045662
"_MG_Passa Quatro","Passa Quatro","MG",-22.39,-44.97,1040,18.287796803653,13.9831050228311,78.0180365296804,90102.6744292237,204.226255707763,87.9247716894977,87.2461187214612,1.97610730593607
"_MG_Passos","Passos","MG",-20.75,-46.63,875,20.6711073059361,15.2118378995434,74.0772831050228,92662.7140410959,209.231506849315,87.5243150684932,91.5167808219178,1.82188356164384
"_MG_Patrocinio","Patrocínio","MG",-18.94,-46.99,976,20.3214497716895,14.1556050228311,71.5167808219178,90610.2305936073,209.103538812785,85.5068493150685,94.1812785388128,1.70412100456621
"_MG_Pirapora AP","Pirapora AP","MG",-17.34,-44.94,489,23.7234360730594,17.3204337899543,70.3851598173516,95664.2853881279,235.955707762557,110.866324200913,90.7077625570776,1.38029680365297
"_MG_Rio Pardo de Minas","Rio Pardo de Minas","MG",-15.72,-42.44,853,21.5782191780822,15.9963698630137,72.4316210045662,92000.0074200913,206.088127853881,88.2690639269406,95.6147260273973,2.41116438356164
"_MG_Sacramento","Sacramento","MG",-19.86,-47.44,912,21.7976255707763,14.1209817351598,65.2562785388128,91269.0884703196,220.737557077626,97.1510273972603,90.6405251141553,2.34525114155251
"_MG_Salinas","Salinas","MG",-16.17,-42.29,495,23.2709474885845,17.000901826484,71.3420091324201,95884.5987442922,215.117465753425,97.1986301369863,92.9970319634703,1.08557077625571
"_MG_Sao Joao del Rei","São João del Rei","MG",-21.14,-44.26,991,19.3591552511416,14.8363242009132,77.6150684931507,91019.9571917808,193.95799086758,74.0932648401827,93.3469178082192,2.4787899543379
"_MG_Sao Romao","São Romão","MG",-16.37,-45.07,460,24.0201826484018,18.4263698630137,73.5777397260274,95776.0816210046,234.703424657534,111.064155251142,92.1498858447489,1.35469178082192
"_MG_Serra dos Aimores","Serra dos Aimorés","MG",-17.78,-40.25,208,23.2579794520548,19.1863812785388,79.8295662100457,99185.3595890411,199.796917808219,76.3215753424657,98.9302511415525,2.65237442922374
"_MG_Teofilo Otoni","Teófilo Otoni","MG",-17.86,-41.51,475,22.388002283105,17.7653310502283,77.023401826484,96258.2260273973,193.864611872146,74.3753424657534,95.1204337899543,1.63663242009132
"_MG_Timoteo","Timóteo","MG",-19.58,-42.64,333,22.8323744292237,17.2180821917808,71.7602739726027,95940.8476027397,179.698630136986,63.7817351598174,93.534703196347,1.13442922374429
"_MG_Tres Marias","Três Marias","MG",-18.21,-45.24,921,21.9679223744292,16.1118721461187,71.541894977169,91134.095890411,220.275228310502,94.8948630136986,94.287899543379,2.67930365296804
"_MG_Uberlandia","Uberlândia","MG",-18.92,-48.28,869,22.9453652968037,13.7062214611872,59.4102739726027,91705.2933789954,256.65502283105,112.274315068493,107.179337899543,2.03304794520548
"_MG_Unai AP","Unaí AP","MG",-16.36,-46.91,631,23.4338242009132,17.0215525114155,70.2697488584475,94146.6044520548,224.6399543379,102.111872146119,94.2189497716895,1.68827625570776
"_MG_Varginha","Varginha","MG",-21.55,-45.43,955,19.5525342465753,14.1352853881279,73.5522831050228,90922.7066210046,198.063812785388,76.2952054794521,93.4533105022831,1.84352739726027
"_MG_Vicosa","Viçosa","MG",-20.75,-42.88,712,19.990502283105,16.0424315068493,80.1179223744292,93689.8401826484,179.383904109589,62.9768264840183,94.8614155251142,0.857579908675799
"_MS_Amambai","Amambai","MS",-23,-55.33,431,21.938196347032,15.8156050228311,71.7713470319635,96329.0523972603,204.038470319635,88.6869863013699,86.9703196347032,2.2062100456621
"_MS_Campo Grande Intl AP","Campo Grande Intl AP","MS",-20.44,-54.65,530,23.4477283105023,15.7755593607306,65.691095890411,95251.6341324201,206.942123287671,85.4254566210046,93.0876712328767,3.45815068493151
"_MS_Chapadao do Sul","Chapadão do Sul","MS",-18.79,-52.62,818,22.3960730593607,15.9412100456621,69.6512557077626,92386.2928082192,208.539155251142,88.3181506849315,91.5065068493151,2.19494292237443
"_MS_Corumba Intl AP","Corumbá Intl AP","MS",-19.01,-57.65,126,25.9027283105023,18.5591780821918,65.9929223744292,99796.4280821918,218.262671232877,95.1375570776256,92.7579908675799,2.14229452054795
"_MS_Coxim","Coxim","MS",-18.3,-54.44,252,24.7147945205479,18.7232876712329,71.610502283105,98360.4257990868,221.729452054795,99.6202054794521,90.5186073059361,1.26705479452055
"_MS_Dourados","Dourados","MS",-22.22,-54.81,469,22.6856278538813,15.902796803653,68.9525114155251,96004.5705479452,207.56198630137,89.1852739726027,88.1622146118721,2.45138127853881
"_MS_Ivinhema","Ivinhema","MS",-22.31,-53.81,373,23.6878652968037,16.2319863013699,65.6942922374429,96925.5084474886,212.683789954338,91.8795662100457,89.4014840182648,2.83762557077626
"_MS_Juti","Juti","MS",-22.86,-54.61,379,22.8866780821918,16.9339611872146,71.9077625570776,96962.9617579909,188.28595890411,72.1414383561644,90.1360730593607,0.363002283105023
"_MS_Miranda","Miranda","MS",-20.24,-56.38,140,24.611404109589,17.4373630136986,68.4146118721461,99636.4932648402,215.150114155251,94.1400684931507,90.9384703196347,1.24305936073059
"_MS_Nhumirim","Nhumirim","MS",-18.99,-56.62,104,24.8829794520548,19.4204223744292,75.1252283105023,99973.3578767123,206.015296803653,80.2150684931507,95.9044520547945,1.7352397260274
"_MS_Ponta Pora","Ponta Porã","MS",-22.54,-55.73,650,21.2907762557078,14.6114726027397,69.559703196347,93752.876369863,196.927283105023,80.578196347032,89.5571917808219,2.55712328767123
"_MS_Porto Murtinho AP","Porto Murtinho AP","MS",-21.7,-57.88,85,25.4372374429224,17.5109931506849,65.2254566210046,100184.326484018,209.767922374429,90.3091324200913,89.7235159817352,2.08966894977169
"_MS_Rio Brilhante","Rio Brilhante","MS",-21.78,-54.53,329,23.2889269406393,16.5877739726027,70.1986301369863,97531.3723744292,211.842465753425,92.941894977169,88.7167808219178,1.69280821917808
"_MS_Sete Quedas","Sete Quedas","MS",-23.97,-55.02,402,22.3367694063927,15.585296803653,68.6125570776256,96715.0982876712,209.783561643836,93.8960045662101,84.1189497716895,2.81114155251142
"_MS_Sidrolandia","Sidrolândia","MS",-20.98,-54.97,464,23.3403652968037,17.3791894977169,71.8829908675799,95868.4623287671,209.520662100457,91.2909817351598,89.037899543379,2.17623287671233
"_MS_Tres Lagoas AP","Três Lagoas AP","MS",-20.75,-51.68,313,24.3503881278539,16.3810844748858,64.2961187214612,97613.5239726027,205.09303652968,84.7285388127854,93.3856164383562,1.43442922374429
"_MT_Agua Boa","Água Boa","MT",-14.05,-52.16,432,24.9493607305936,19.2605593607306,73.827397260274,96184.144977169,209.641438356164,87.1506849315068,97.0227168949772,2.2012100456621
"_MT_Alto Taquari","Alto Taquari","MT",-17.82,-53.29,875,22.3368835616438,15.141997716895,68.2860730593607,91524.2326484018,208.092922374429,84.4084474885845,95.7928082191781,1.78130136986301
"_MT_Apiacas","Apiacás","MT",-9.54,-57.45,220,25.652796803653,20.9269748858447,78.2442922374429,98645.3369863014,194.699771689498,72.9114155251142,102.001826484018,0.868698630136986
"_MT_Campo Novo do Parecis","Campo Novo do Parecis","MT",-13.68,-57.89,570,24.0810616438356,17.4743607305936,69.722602739726,95211.3767123288,205.819178082192,83.1232876712329,98.0788812785388,1.50821917808219
"_MT_Campo Verde","Campo Verde","MT",-15.55,-55.17,749,23.0364383561644,16.3136301369863,70.6490867579909,92931.9337899543,197.991552511416,76.9977168949772,97.0474885844749,2.81246575342466
"_MT_Carlinda","Carlinda","MT",-9.97,-55.83,300,25.4958789954338,20.651301369863,77.0938356164384,97768.850456621,199.416780821918,78.4930365296804,96.9751141552511,1.25486301369863
"_MT_Comodoro","Comodoro","MT",-13.66,-59.79,591,22.4294520547945,18.5782762557078,81.2586757990868,94632.6539954338,206.564155251142,83.5495433789954,98.7808219178082,1.56318493150685
"_MT_Confresa","Confresa","MT",-10.65,-51.57,237,26.1360273972603,20.621803652968,74.5469178082192,98467.0582191781,205.986643835616,85.5369863013699,97.4767123287671,1.30675799086758
"_MT_Cotriguacu","Cotriguaçu","MT",-9.86,-58.41,261,24.6233789954338,20.5852283105023,81.4142694063927,98143.0296803653,186.55399543379,65.9084474885845,102.667922374429,1.15311643835616
"_MT_Cuiaba","Cuiabá","MT",-15.62,-56,151,26.26649543379,19.8272488584475,70.5925799086758,99401.6681506849,210.287442922374,86.8658675799087,98.6101598173516,1.95102739726027
"_MT_Gaucha do Norte","Gaúcha do Norte","MT",-13.18,-53.26,379,25.2183105022831,19.5186187214612,73.8538812785388,96868.946347032,215.219178082192,92.0561643835617,97.5737442922374,1.35438356164384
"_MT_Guaranta do Norte","Guarantã do Norte","MT",-9.79,-54.91,320,25.0424429223744,20.6430251141553,79.1025114155251,97952.1124429224,175.977168949772,54.6132420091324,107.485159817352,1.5936301369863
"_MT_Guiratinga","Guiratinga","MT",-16.34,-53.77,526,24.6950342465753,16.8433447488584,66.5897260273973,95300.7785388128,186.818721461187,77.7772831050228,89.8288812785388,1.16807077625571
"_MT_Itiquira","Itiquira","MT",-17.18,-54.5,585,24.023002283105,17.9747488584475,71.975,94608.2871004566,217.295662100457,97.4720319634703,89.6328767123288,2.63135844748858
"_MT_Juara","Juara","MT",-11.26,-57.52,260,25.882203196347,20.090605022831,74.2888127853881,98086.4115296804,202.490867579909,80.1337899543379,99.090296803653,1.08501141552511
"_MT_Juina","Juína","MT",-11.38,-58.74,200,24.8458447488584,20.5389155251142,79.1216894977169,96990.977739726,193.707648401826,73.3702054794521,102.370662100457,1.0760502283105
"_MT_Nova Maringa","Nova Maringá","MT",-13.04,-57.09,353,26.3319520547945,21.263698630137,76.2708904109589,97322.5644977169,189.139497716895,67.110502283105,101.369520547945,1.4460502283105
"_MT_Novo Mundo","Novo Mundo","MT",-12.52,-58.23,431,24.7722831050228,18.4697831050228,71.9875570776256,96266.4921232877,211.994063926941,89.1412100456621,97.9482876712329,2.5838698630137
"_MT_Paranatinga","Paranatinga","MT",-14.43,-54.05,474,24.454897260274,17.3530479452055,69.8085616438356,95776.4902968036,223.922374429224,102.016780821918,92.441894977169,1.82549086757991
"_MT_Pontes de Lacerda","Pontes de Lacerda","MT",-15.25,-59.35,256,25.3374543378995,19.8975228310502,74.1994292237443,98014.8944063927,204.851141552511,86.8414383561644,93.2947488584475,1.31415525114155
"_MT_Porto Estrela","Porto Estrela","MT",-15.32,-57.23,145,25.3958561643836,19.7599315068493,74.775799086758,99439.4078767123,211.092465753425,88.0311643835616,99.2786529680365,1.08632420091324
"_MT_Querencia","Querência","MT",-12.63,-52.22,382,25.028904109589,19.9488584474886,76.5850456621005,97076.2111872146,212.920205479452,92.4732876712329,96.0051369863014,1.28214611872146
"_MT_Rondonopolis","Rondonópolis","MT",-16.47,-54.64,284,25.4920205479452,18.5147716894977,68.4361872146119,97914.2651826484,210.739840182648,87.6200913242009,97.5087899543379,2.20912100456621
"_MT_Salto do Ceu","Salto do Céu","MT",-15.12,-58.13,303,24.5636301369863,19.7338470319635,77.0764840182648,97726.6512557078,193.955707762557,77.5348173515982,95.7431506849315,1.63240867579909
"_MT_Santo Antonio do Leste","Santo Antônio do Leste","MT",-14.93,-53.88,648,23.6825228310502,17.8006621004566,72.8888127853881,93779.4149543379,222.655936073059,101.425570776256,92.5073059360731,2.54816210045662
"_MT_Sao Felix do Araguaia","São Félix do Araguaia","MT",-11.62,-50.73,218,26.2232191780822,18.1789269406393,66.1755707762557,98836.7166666667,226.3899543379,104.448515981735,93.2958904109589,1.36638127853881
"_MT_Sao Jose do Rio Claro","São José do Rio Claro","MT",-13.45,-56.72,350,24.7784246575342,19.6532077625571,76.0939497716895,97340.7714611872,188.891894977169,66.7659817351598,101.32796803653,1.48853881278539
"_MT_Sinop","Sinop","MT",-11.86,-55.5,371,25.0781392694064,18.4890182648402,71.6083333333333,96965.0226027397,216.19200913242,93.977397260274,95.688698630137,1.97213470319635
"_MT_Sorriso","Sorriso","MT",-12.55,-55.71,380,25.3619178082192,18.9670433789954,70.947602739726,96931.4788812785,216.202739726027,94.0944063926941,95.0212328767123,2.26190639269406
"_MT_Tangara da Serra","Tangará da Serra","MT",-14.62,-57.49,322,24.6294863013699,18.3128767123288,70.9662100456621,96217.1348173516,205.726255707763,83.1933789954338,97.3682648401826,3.04319634703196
"_MT_Vila Bela da Santissima Trindade","Vila Bela da Santíssima Trindade","MT",-15.01,-59.95,222,24.8040410958904,19.4520319634703,75.1818493150685,98691.4189497717,212.555136986301,95.5464611872146,91.612899543379,1.22691780821918
"_PA_Belem","Belém","PA",-1.46,-48.5,24,27.1596118721461,23.3148630136986,80.4166666666667,100806.477739726,181.2350456621,63.276598173516,103.901141552511,0.986426940639269
"_PA_Braganca","Bragança","PA",-1.05,-46.78,33,26.4739155251142,22.698904109589,80.7425799086758,100665.848744292,196.430136986301,73.1446347031963,104.130593607306,1.77253424657534
"_PA_Cameta","Cametá","PA",-2.25,-49.49,22,27.2163584474886,22.9716095890411,78.6042237442922,101004.693493151,223.579452054795,101.31198630137,97.621803652968,1.59609589041096
"_PA_Castanhal","Castanhal","PA",-1.3,-47.92,65,26.2037899543379,22.689600456621,82.1455479452055,100564.131278539,224.157876712329,99.3873287671233,102.808105022831,2.41140410958904
"_PA_Conceicao do Araguaia","Conceição do Araguaia","PA",-6.28,-49.27,180,26.7669063926941,20.8141780821918,73.1478310502283,99080.9044520548,203.107762557078,81.6852739726027,99.6269406392694,1.35945205479452
"_PA_Itaituba","Itaituba","PA",-4.28,-55.99,13,26.8622146118721,22.8245091324201,79.7130136986301,100749.019406393,200.029794520548,81.835502283105,95.4657534246575,0.927876712328767
"_PA_Maraba","Marabá","PA",-5.37,-49.12,84,26.4940182648402,22.3106164383562,79.4535388127854,99746.2955479452,205.510616438356,82.4141552511416,99.2921232876712,1.13489726027397
"_PA_Novo Repartimento","Novo Repartimento","PA",-4.26,-49.93,113,26.3190639269406,22.2271232876712,79.6810502283105,99801.3162100457,194.95696347032,71.4428082191781,101.305821917808,1.60883561643836
"_PA_Pacaja","Pacajá","PA",-3.84,-50.64,108,26.0978196347032,22.0905251141553,80.1231735159817,100022.270890411,187.505707762557,63.4542237442922,104.03904109589,1.087100456621
"_PA_Paragominas","Paragominas","PA",-3.01,-47.34,101,26.3699429223744,21.6820433789954,77.4552511415525,100102.21803653,218.672374429224,91.1599315068493,104.317237442922,1.55818493150685
"_PA_Placas","Placas","PA",-3.86,-54.22,96,26.2666666666667,22.1831392694064,79.8745433789954,99904.5296803653,184.997831050228,61.627397260274,103.336415525114,1.02695205479452
"_PA_Rondon do Para","Rondon do Pará","PA",-4.78,-48.07,221,26.3382762557078,20.86350456621,73.9732876712329,98492.1855022831,200.709931506849,76.2791095890411,103.999657534247,1.58849315068493
"_PA_Salinopolis","Salinópolis","PA",-0.62,-47.35,20,27.1619748858447,22.9893264840183,78.3035388127854,100881.047374429,197.014269406393,75.3947488584475,102.523858447489,3.00891552511416
"_PA_Santana do Araguaia","Santana do Araguaia","PA",-9.34,-50.33,168,26.3313584474886,20.9792808219178,75.2829908675799,99087.2351598174,196.258219178082,74.5845890410959,100.832534246575,1.29057077625571
"_PA_Serra dos Carajas","Serra dos Carajás","PA",-6.08,-50.14,719,23.6649200913242,19.8052625570776,80.1035388127854,93219.5359589041,177.174543378995,59.0275114155251,103.424086757991,2.97686073059361
"_PA_Soure","Soure","PA",-0.81,-48.52,11,28.0755251141553,23.510102739726,76.4428082191781,100950.870205479,232.896461187215,110.565410958904,96.3595890410959,2.7398401826484
"_PA_Tome Acu","Tomé Açu","PA",-2.59,-48.36,38,25.997796803653,22.0868835616438,80.1626712328767,100572.400570776,209.275570776256,81.1036529680365,106.567237442922,1.03090182648402
"_PA_Tucurui","Tucuruí","PA",-3.82,-49.68,148,27.3615639269406,22.7688698630137,77.1792237442922,99412.321347032,200.032876712329,79.0900684931507,100.883789954338,1.38140410958904
"_PB_Areia","Areia","PB",-6.96,-35.69,575,22.4722146118721,19.9692579908676,86.7294520547945,94820.1391552511,205.488698630137,81.1841324200913,106.762214611872,3.98973744292237
"_PB_Cabaceiras","Cabaceiras","PB",-7.48,-36.29,436,25.37600456621,18.9877739726027,70.7525114155251,96825.0559360731,233.693949771689,106.427168949772,101.90102739726,2.88318493150685
"_PB_Camaratuba","Camaratuba","PB",-6.61,-35.13,136,24.8513470319635,21.2056278538813,81.0737442922374,99728.747716895,221.112328767123,92.8090182648402,105.131849315068,3.42853881278539
"_PB_Campina Grande","Campina Grande","PB",-7.23,-35.88,548,23.6234246575342,19.2302397260274,78.1625570776256,95182.5279680365,222.26095890411,95.6497716894977,104.697374429224,3.09546803652968
"_PB_Joao Pessoa","João Pessoa","PB",-7.11,-34.86,44,26.0154566210046,21.4774771689498,76.5497716894977,100796.359589041,234.148744292237,107.730251141553,100.453424657534,2.4312100456621
"_PB_Monteiro","Monteiro","PB",-7.89,-37.12,604,24.239703196347,17.3461187214612,68.7917808219178,94507.9514840183,246.654680365297,121.367922374429,96.5890410958904,2.60700913242009
"_PB_Patos","Patos","PB",-7.02,-37.28,249,27.2438127853881,18.4267465753425,62.0544520547945,98255.9492009132,253.687328767123,128.145433789954,94.0650684931507,2.86461187214612
"_PB_Sao Goncalo","São Gonçalo","PB",-6.84,-38.31,234,26.8294178082192,19.0590296803653,65.5334474885845,98522.9650684932,256.546232876712,130.32899543379,93.0335616438356,1.66952054794521
"_PE_Arcoverde","Arcoverde","PE",-8.42,-37.05,681,23.5866666666667,16.7062671232877,68.6270547945205,93675.5998858447,233.7899543379,108.310730593607,98.4631278538813,3.10035388127854
"_PE_Cabrobo","Cabrobó","PE",-8.5,-39.31,342,26.7803082191781,18.144497716895,62.7434931506849,97339.6575342466,235.364269406393,108.563584474886,99.9837899543379,3.09469178082192
"_PE_Caruaru","Caruaru","PE",-8.24,-35.99,550,23.3396803652968,18.4611757990868,76.2222602739726,94924.3310502283,220.138926940639,92.4622146118721,105.240867579909,2.84324200913242
"_PE_Floresta","Floresta","PE",-8.61,-38.59,329,26.6028767123288,18.783299086758,66.4866438356164,97472.4332191781,231.846575342466,103.99703196347,101.540410958904,2.95252283105023
"_PE_Garanhuns","Garanhuns","PE",-8.89,-36.49,823,21.0392465753425,17.3805593607306,81.7245433789954,92216.0799086758,212.6649543379,88.2247716894977,104.350913242009,3.10769406392694
"_PE_Ibimirim","Ibimirim","PE",-8.51,-37.71,448,25.5997260273973,17.6949086757991,65.6147260273973,96379.3875570776,237.636187214612,113.592579908676,97.7389269406393,2.554600456621
"_PE_Palmares","Palmares","PE",-8.67,-35.57,180,25.0530136986301,20.7226369863014,78.6119863013699,99423.4851598174,205.234931506849,76.1703196347032,109.792123287671,2.10425799086758
"_PE_Petrolina","Petrolina","PE",-9.39,-40.51,370,26.9104109589041,17.2337785388128,58.0662100456621,97027.9543378995,230.654680365297,103.74703196347,100.375799086758,3.07956621004566
"_PE_Recife","Recife","PE",-8.05,-34.88,10,25.75100456621,20.87600456621,75.2156392694064,101239.189726027,271.102054794521,136.879109589041,98.8626712328767,1.82907534246575
"_PE_Serra Talhada","Serra Talhada","PE",-7.95,-38.29,461,25.2619634703196,17.5518264840183,66.0005707762557,95643.1381278539,225.975456621005,100.810388127854,101.548744292237,2.25892694063927
"_PE_Surubim","Surubim","PE",-7.84,-35.79,418,24.2186301369863,19.5640068493151,77.6223744292237,96578.0776255708,229.925456621005,100.740867579909,103.738926940639,3.33272831050228
"_PI_Alvorada do Gurgueia","Alvorada do Gurguéia","PI",-8.44,-43.86,270,26.3053538812785,19.4236301369863,68.4542237442922,98138.4965753425,234.764383561644,109.862899543379,95.963698630137,1.75721461187215
"_PI_Bom Jesus do Piaui","Bom Jesus do Piaui","PI",-9.07,-44.36,331,26.3915525114155,18.7593949771689,67.6908675799087,97769.5901826484,225.825114155251,101.417808219178,97.0625570776256,1.69719178082192
"_PI_Caracol","Caracol","PI",-9.29,-43.32,100,24.695605022831,16.4434817351598,64.4917808219178,99205.4332191781,238.347831050228,113.837785388128,94.1966894977169,2.00610730593607
"_PI_Castelo do Piaui","Castelo do Piaui","PI",-5.35,-41.51,286,27.3262328767123,19.0531506849315,64.6213470319635,98068.5525114155,238.284931506849,111.218150684932,99.1730593607306,2.04720319634703
"_PI_Esperantina","Esperantina","PI",-3.9,-42.26,65,26.981095890411,21.266598173516,74.4594748858448,100066.398515982,236.185159817352,111.308105022831,99.0014840182648,1.53690639269406
"_PI_Floriano","Floriano","PI",-6.77,-43.02,123,27.584098173516,19.6577283105023,65.5694063926941,99687.052283105,217.347260273973,94.5963470319635,98.1114155251142,1.40270547945205
"_PI_Gilbues","Gilbués","PI",-9.87,-45.35,425,26.4936529680365,17.9531621004566,63.2952054794521,96344.4874429224,246.440410958904,121.200799086758,93.5632420091324,2.44680365296804
"_PI_Oeiras","Oeiras","PI",-6.97,-42.15,156,26.7957762557078,19.3521917808219,68.226598173516,99354.6045662101,228.906392694064,104.25901826484,97.846803652968,1.64802511415525
"_PI_Parnaiba","Parnaíba","PI",-2.9,-41.78,80,27.3445319634703,21.8301141552511,73.375799086758,100458.733447489,229.08904109589,98.7116438356164,104.92899543379,3.1152397260274
"_PI_Paulistana","Paulistana","PI",-8.14,-41.15,374,27.5810844748858,16.7380251141553,54.9551369863014,96915.0918949772,250.38595890411,124.857534246575,92.3960045662101,3.31834474885845
"_PI_Picos","Picos","PI",-7.07,-41.4,233,28.2181392694064,17.7161757990868,57.3465753424658,98496.1655251141,235.181164383562,109.362785388128,98.4057077625571,2.15941780821918
"_PI_Piripiri","Piripiri","PI",-4.27,-41.78,161,27.9036301369863,19.6559246575342,65.5704337899543,99182.9942922374,249.539497716895,123.642808219178,95.7457762557078,1.51753424657534
"_PI_Sao Joao do Piaui","São João do Piauí","PI",-8.36,-42.25,235,28.2401141552511,16.9654223744292,54.5721461187215,98426.4006849315,246.828196347032,121.355251141553,93.2684931506849,2.0761301369863
"_PI_Sao Pedro do Piaui","São Pedro do Piauí","PI",-5.91,-42.72,287,26.2346118721461,20.3014840182648,72.3825342465753,97780.6510273973,230.562785388128,104.852283105023,98.4037671232877,1.6601598173516
"_PI_Sao Raimundo Nonato","São Raimundo Nonato","PI",-9.03,-42.7,402,27.0342465753425,17.3237899543379,58.6220319634703,96860.3242009132,237.247488584475,111.899315068493,95.12899543379,1.69454337899543
"_PI_Teresina","Teresina","PI",-5.09,-42.8,74,27.6931621004566,20.2638470319635,68.4739726027397,100139.070776256,236.631849315069,109.032191780822,100.097831050228,1.30487442922374
"_PI_Urucui","Uruçuí","PI",-7.47,-44.34,393,25.8140525114155,18.9274315068493,69.1009132420091,96687.0034246575,220.547260273973,98.8229452054795,96.3721461187215,1.06926940639269
"_PI_Valenca do Piaui","Valença do Piauí","PI",-6.4,-41.74,301,27.0664840182648,18.5175114155251,63.209703196347,97598.1107305936,224.917922374429,100.418607305936,99.6030821917808,1.70617579908676
"_PR_Castro","Castro","PR",-24.79,-50.01,1008,16.8743721461187,13.1909474885845,81.0785388127854,90450.2899543379,178.077853881279,65.5875570776256,88.1095890410959,1.83075342465753
